pH,Dissolved Oxygen,Oxygen Demand (BOD),Conductivity,Nitrate,Total Coliform
13.74,8.66,30.0,303.0,7.2,500.0
8.5,20.0,12.79,785.9,15.3,256.0
14.0,14.45,21.55,385.1,33.7,148.0
10.73,9.7,11.88,963.8,46.9,102.0
14.0,5.04,3.43,273.7,28.3,21.0
2.23,4.07,30.0,1702.8,50.0,66.0
0.62,9.4,25.1,1251.2,42.0,41.0
12.08,11.85,22.55,1073.3,49.5,104.0
9.74,0.22,8.21,2000.0,28.0,15.0
11.77,20.0,10.23,1562.1,16.5,56.0
0.57,2.37,30.0,688.2,4.1,317.0
1.14,4.52,3.23,1333.3,50.0,48.0
3.27,1.78,10.56,696.0,7.4,115.0
5.04,20.0,6.22,1317.7,23.2,165.0
12.91,1.7,6.33,1925.7,35.2,115.0
10.58,3.4,3.67,1296.2,45.9,59.0
8.66,6.45,16.66,881.7,34.3,171.0
6.43,11.05,10.0,1429.1,17.6,478.0
12.14,4.3,30.0,866.1,42.4,41.0
9.91,6.88,22.9,578.7,50.0,96.0
2.23,17.03,5.1,1792.8,10.0,118.0
3.37,12.51,15.78,1221.9,33.7,31.0
8.81,6.96,8.77,1697.0,14.1,180.0
10.78,10.81,19.88,1370.5,5.2,331.0
9.18,7.7,5.89,1734.1,11.1,135.0
11.1,5.04,0.56,2000.0,4.4,28.0
12.55,3.19,4.55,1726.3,10.4,70.0
11.19,15.48,8.45,170.1,5.6,224.0
9.65,12.67,17.01,541.5,17.4,48.0
12.29,9.11,10.56,1437.0,7.2,345.0
10.58,5.42,19.33,480.9,1.1,454.0
1.71,8.6,22.99,385.1,43.4,82.0
9.65,2.74,27.21,119.3,33.7,302.0
5.54,7.25,19.56,658.8,45.9,198.0
7.94,1.49,24.9,228.7,38.0,276.0
10.99,16.97,17.77,645.2,26.8,157.0
5.34,10.89,7.21,1296.2,9.4,61.0
10.43,5.1,21.0,637.3,44.3,422.0
4.3,2.6,26.1,355.8,30.0,159.0
10.32,4.89,3.9,733.1,23.2,94.0
12.86,2.29,16.45,443.8,32.6,287.0
8.03,5.47,12.35,1644.2,13.9,426.0
2.49,19.12,8.21,1386.1,14.1,65.0
4.26,14.82,5.54,488.8,4.6,411.0
12.08,7.12,14.9,1317.7,12.8,467.0
10.47,2.29,12.55,1548.4,28.7,171.0
12.96,15.03,26.66,807.4,40.4,63.0
10.73,8.23,17.57,443.8,31.1,155.0
7.73,1.25,9.33,1681.3,13.7,74.0
10.93,6.37,26.89,355.8,40.0,137.0
4.78,13.86,14.22,1466.3,5.4,485.0
10.26,8.52,5.01,860.2,24.2,180.0
4.78,5.85,19.88,385.1,42.2,80.0
8.03,4.67,26.33,645.2,4.1,328.0
5.08,12.08,11.11,1184.8,36.5,139.0
10.73,5.34,21.88,119.3,42.8,357.0
4.72,12.81,9.56,1734.1,11.8,328.0
10.89,5.34,17.77,273.7,44.1,178.0
4.56,10.36,11.88,903.2,41.7,350.0
7.51,7.33,20.23,518.1,33.1,456.0
10.89,2.23,10.79,1740.0,17.8,246.0
4.82,6.37,21.79,823.1,28.5,94.0
9.59,4.3,23.23,926.7,11.8,420.0
3.53,15.62,9.33,1259.0,1.9,209.0
11.15,7.55,5.34,682.3,36.7,117.0
6.12,11.1,26.45,228.7,14.3,345.0
2.44,16.6,9.77,1237.5,19.8,324.0
12.55,5.71,20.79,297.2,43.5,85.0
4.09,13.55,12.43,1139.8,4.8,305.0
11.92,5.04,25.34,645.2,33.7,141.0
4.41,2.6,5.22,1333.3,18.9,428.0
10.99,12.3,17.77,215.1,41.5,117.0
4.35,16.97,12.35,1689.1,11.3,367.0
11.25,3.77,22.55,525.9,41.5,56.0
8.55,8.74,7.21,1503.4,16.5,337.0
11.1,2.15,25.78,674.5,35.0,118.0
5.5,11.34,8.45,1532.7,14.3,280.0
1.6,17.18,23.11,555.2,39.2,96.0
11.82,6.3,11.32,1214.1,10.6,250.0
9.28,10.67,17.89,310.9,38.7,198.0
10.63,9.33,22.11,719.5,30.7,293.0
7.21,4.97,9.77,719.5,42.2,124.0
13.27,15.99,8.89,1163.2,20.7,389.0
3.48,7.7,19.21,621.7,28.9,191.0
6.43,13.92,7.21,1777.1,17.4,285.0
11.25,4.81,24.22,911.0,29.3,139.0
3.68,2.89,22.43,696.0,35.5,347.0
9.44,5.71,27.65,1259.0,16.3,124.0
11.36,10.3,10.23,1466.3,30.0,46.0
9.85,12.0,5.89,1274.7,19.1,172.0
7.83,8.0,11.32,696.0,31.7,59.0
3.48,4.01,2.67,1585.5,15.0,268.0
6.43,6.0,18.68,608.0,25.2,204.0
2.75,13.78,26.57,1519.1,13.3,291.0
0.05,5.55,20.23,895.4,33.5,115.0
5.65,11.4,8.77,1569.9,15.9,402.0
3.68,7.33,12.11,948.2,30.7,122.0
12.18,1.86,21.23,393.0,39.4,302.0
9.59,11.55,10.79,1452.6,15.9,213.0
4.93,16.52,8.33,1184.8,28.9,124.0
13.01,4.38,19.21,555.2,36.3,92.0
9.65,13.04,7.33,1349.0,24.4,302.0
5.28,6.22,22.23,340.2,12.6,434.0
9.8,2.82,17.21,852.4,24.4,198.0
11.25,6.14,11.44,1296.2,13.0,331.0
12.23,9.03,19.77,703.8,21.5,387.0
2.9,6.51,26.33,252.2,29.4,155.0
10.21,3.19,19.44,637.3,42.0,242.0
8.66,6.22,28.56,1200.4,35.2,382.0
11.04,11.05,24.9,637.3,38.5,135.0
6.75,14.9,17.01,1030.3,33.9,100.0
2.23,10.81,10.56,1126.1,18.0,432.0
9.22,5.34,9.33,703.8,30.5,122.0
10.73,2.82,20.56,1259.0,15.0,242.0
11.97,5.47,8.56,881.7,32.2,111.0
9.8,11.05,20.32,193.5,43.5,361.0
5.13,12.96,10.44,563.0,37.4,108.0
8.55,5.26,18.89,963.8,15.9,324.0
12.08,1.19,8.77,696.0,27.4,398.0
